device_aid,rich_score,zenginlik_segmenti,kahve_persona,bar_persona,keşif_persona,hayvan_persona,yaşam_tarzı_persona,total_visits,unique_places,coffee_visit_count,bar_pub,vet_visit_count,wealth_score
0002dfc4-7c27-45d3-989d-27736a25b0da,6.62,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,17.0
00044db0-1476-41d7-abd6-2a9b862ad316,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Sosyal Butterfly,18,3,0.0,7,4.0,100.0
000933ad-4cf0-409d-ad21-db6b8a6e14fa,9.45,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,0.0,13.0
000b143c-6977-4eb6-ac3e-f8dcc594db96,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,5,5,2.0,4,5.0,92.86
000ec2c0-8388-4efa-ae84-2436d14dfaa8,59.54,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,3,3,0.0,1,0.0,45.12
001012b3-3172-47c4-b238-6338135012e0,18.13,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,0.0,23.0
0013c832-1abd-65eb-26a3-1e84e33f11f7,22.08,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,2,2,0.0,1,3.0,35.52
00179829-2eed-4835-acac-3919d258a4a6,7.28,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,15.0
001cd150-f6ba-441b-82f2-a5109b0cb6eb,51.23,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,2,4.0,0,1.0,32.08
001ce09b-0f34-4510-8b5f-8d8c10cd7c3f,35.65,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,1,1,1.0,1,8.0,13.0
001d61bb-29dc-49c7-886a-e2294db5ce02,32.32,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,2,0.0,48.98
