MusteriKodu,MusteriBolge,OrtalamaHarcamaTutari,KuverSayisi,MusteriTabelaAdi,MusteriCesidi,lat,lng,MapProfileScore,MapPopulationScore,Mapin Segment, url
433249,KADIKÖY,500-999 TL,,KADIKÖY OTELCİLİK,Business,"40,99544397","29,02480308",,,H2,https://maps.app.goo.gl/k39kVzHodETV1er16
456855,ATAŞEHİR,2.000+ TL,,MARRİOT OTEL,"Banket, Event, Etkinlik Oteli","40,98091700","29,10137200",,,H1,https://maps.app.goo.gl/WMzAaa4tpqWqHDXL9
700932,ÜSKÜDAR,500-999 TL,,Sumahan on the Water,"Diğer (Apart, Pansiyon)","41,0540863","29,051875",,,H1,https://maps.google.com/?cid=11419511708799045238
1000029700,ÜSKÜDAR,500-999 TL,100-199,AŞK GEMİSİ ,Tekne-Event Hall-Catering,"41,01910260","28,95795300","67,1815","54,2895",D4-C,
720622,KADIKÖY,500-999 TL,100-199,KİRPİ ERENKÖY,Modern Pub & Bistro,"40,96505120","29,07206820","77,7405","62,0554",D3-B,
956804,KADIKÖY,500-999 TL,100-199,Gri Meyhane ,Geleneksel Meyhane,"40,98879597","29,02450808","63,7168","64,6221",R3-C,
875714,KADIKÖY,500-999 TL,100-199,LONDON PUB,Modern Pub & Bistro,"40,98910740","29,02810430","63,7161","63,8223",D3-C,
1000012934,ATAŞEHİR,,,KENSİNGTON,Yeni Nesil Meyhane,"40,99450499","29,11039467",,,R0-B,
831410,KADIKÖY,,,KEYİFHANE CAFE,Askeri Birlik-Sosyal Tesis,"40,94340610","29,10800380",,,R0-B,
633358,KADIKÖY,,,TRAFFİC,Modern Pub & Bistro,"41,00112970","29,05534240",,,D0-B,
814129,KADIKÖY,,,BAŞBAKANLIK F 02,Askeri Birlik-Sosyal Tesis,"40,98157100","29,03651700",,,R0-B,
719810,ÜMRANIYE,2.000+ TL,100-199,THE DATE GASTRO PUB,Pub & Bistro & Kokteyl Bar,"40,96514060","29,08843150","80,999","71,25",D2-B,
721144,ATASEHIR,2.000+ TL,400+,PASAJ,Yeni Nesil Meyhane,"40,99659257","29,10022940",0,0,R3-B,
721196,ÜMRANIYE,1.000 -1.999 TL,100-199,ARDA OCAKBASI,Kebap,"41,00811800","29,17960650",0,0,R3-B,
702614,ATAŞEHİR,500-999 TL,400+,HAPPY MOONS WATERGARDEN ,Modern Pub & Bistro,"40,9980243","29,0997775","80,1891","93,8504",D2-B,https://maps.google.com/?cid=14211145037846161603
702744,ATAŞEHİR,500-999 TL,,İbiş otel ataşehir ,"Diğer (Apart, Pansiyon)","41,07044360","29,00035520",,,H2,https://maps.app.goo.gl/ZD8wsgztYSNcfKF28
702849,KADIKÖY,1.000 -1.999 TL,100-199,STEFANO,Modern Pub & Bistro,"40,9638663","29,0711166",,,D3-A,https://maps.google.com/?cid=4442087110506303748
709693,KADIKÖY,1.000 -1.999 TL,0-99,BALIKLA,Geleneksel Meyhane,"40,9614002","29,0841554",,,R4-B,https://maps.google.com/?cid=10289908878118921694
710632,KADIKÖY,2.000+ TL,,BEHIND CADDE,Geleneksel Meyhane,"40,9638252","29,0711659",,,R3-B,https://maps.google.com/?cid=14837248249564481024
710647,KADIKÖY,,,MODA DOUBLETREE BY HİLTON ,"Banket, Event, Etkinlik Oteli","40,988424","29,0210756",,,H1,https://maps.google.com/?cid=719800275528535934
